dataset_name,url
最新第二組《公報》,https://data.gov.mo/Detail?id=f0838ff8-00fe-4f6c-b485-e5750e3b5005
留宿旅客人均消費,https://data.gov.mo/Detail?id=551464b2-6cf6-43b0-9dfb-5f21cf94a04d
黃金周統計數據 - 入境旅客,https://data.gov.mo/Detail?id=6676880c-affd-4824-b88d-b6f927519fc7
首次領取澳門特區居民身份證統計,https://data.gov.mo/Detail?id=3e175d48-6e56-41cc-9e79-cea1ceb699f1
酒店及公寓平均入住率,https://data.gov.mo/Detail?id=8812ecc5-e9ab-4e2f-b971-d3c16e46bd32
博彩業全職僱員平均薪酬,https://data.gov.mo/Detail?id=dd88c16b-9508-4ff1-9914-14152471aa3b
公務人員數目統計—按年齡組別及性別劃分,https://data.gov.mo/Detail?id=38acc395-b41c-470c-a2fb-8b0272e9ff32
航機上的違法行為,https://data.gov.mo/Detail?id=08af9b02-8623-45f8-b249-e3a8e6d6baba
公積金制度-供款人-按供款時間劃分,https://data.gov.mo/Detail?id=38ae6064-be91-4d33-826d-0252746d9b0a
行車道路總長度,https://data.gov.mo/Detail?id=fe5dfdee-3e24-4144-881a-6c3aff5ed8ac
留宿旅客,https://data.gov.mo/Detail?id=029427cc-7ae4-4981-bb00-f929aea4a8cf
銀行業全職僱員,https://data.gov.mo/Detail?id=31fa10f6-2e16-4c8c-b986-b64da7eee3ff
建築廢料堆填區數據,https://data.gov.mo/Detail?id=67147260-acd0-4954-aefd-9b8e755cb52e
人均本地生產總值,https://data.gov.mo/Detail?id=89e1c669-18e3-4929-942f-94b691f55817
中國與葡語國家進出口總額,https://data.gov.mo/Detail?id=b6ef0c44-2421-45b3-83c0-2e55c8c79a60
住客平均留宿時間,https://data.gov.mo/Detail?id=de1919ba-d035-4d57-8d7f-fd58fb67567f
消費物價指數 – 通脹率,https://data.gov.mo/Detail?id=ec47d6b4-168d-4ba6-9dca-25cc192aa9c1
一般衛生護理範疇(衛生中心)按衛生中心劃分的門診人次,https://data.gov.mo/Detail?id=39671273-681c-4292-83a0-9729b5d44eb1
旅客總消費,https://data.gov.mo/Detail?id=6466a42d-cd30-40a3-9017-3e0066e6b077
斑馬線,https://data.gov.mo/Detail?id=be3f06ca-e2fb-43d1-bd2d-109a77139127
公務人員數目統計—按僱傭法律關係劃分,https://data.gov.mo/Detail?id=03d23070-6d3a-4064-8236-e1e7517032f1
路氹城生態保護區物種數據,https://data.gov.mo/Detail?id=040b1dbf-54a9-436d-b51d-e9e9d6f0c48c
大眾體育健身興趣班資料,https://data.gov.mo/Detail?id=0e6362e3-0b0b-4696-9bf3-fb4b2c928b09
土地面積,https://data.gov.mo/Detail?id=4ab2bf1d-1bf1-4d7e-ba1a-278a8ef697f7
污水處理廠數據(路環),https://data.gov.mo/Detail?id=a5a05d0e-30c5-4298-81d5-e6bee5af5e8b
旅行社資料,https://data.gov.mo/Detail?id=a9b52a2a-f878-40cb-8d47-7afd4f16bb5b
水位站實時數據,https://data.gov.mo/Detail?id=dd6e0e5c-fa73-462d-811d-8d550b6d02b9
法人選民登記統計,https://data.gov.mo/Detail?id=e713a8d9-1fe3-47c4-a2b4-f4da39d1328e
獲發使用准照住宅單位,https://data.gov.mo/Detail?id=eeedd78d-ef09-47a8-a69a-04fa7ae73455
不過夜旅客人均消費,https://data.gov.mo/Detail?id=0c9fa128-2979-476e-a6d0-0516e917c90d
在澳門以外地區升學的澳門學生人數統計,https://data.gov.mo/Detail?id=7cad5124-7af7-4eba-8e1a-25a1c4ea1902
實時空氣質量時指數,https://data.gov.mo/Detail?id=986cfdf5-0d14-4db7-8b87-5350b65268bd
零售業銷售額,https://data.gov.mo/Detail?id=f5576013-a007-410d-8924-70b4ce86c7a0
空氣質量時指數時序,https://data.gov.mo/Detail?id=429c9e54-9dc6-41a4-b2d5-558acfa706c0
節日盛事表,https://data.gov.mo/Detail?id=617ad45c-f1c8-461d-9ba7-e2da3de7b7cc
對外商品貿易統計 – 出口,https://data.gov.mo/Detail?id=6b4376a4-d2d9-4117-be14-a4550d572014
主要山丘高度,https://data.gov.mo/Detail?id=52beb52e-b8ea-4922-aeaf-6dbb4a93c150
退休及撫卹制度-在職會員-按退休工齡劃分,https://data.gov.mo/Detail?id=8d86962d-9d38-4930-b787-291ce38fd3a6
道路總長度,https://data.gov.mo/Detail?id=932c4d31-6512-42b9-b66b-026d761f23ee
退休及撫卹制度-收取退休金及撫卹金的人數-按平均年齡劃分,https://data.gov.mo/Detail?id=acbc1c4d-3df8-4747-9ad1-5f2dbd02ebc7
公共道路咪錶車位,https://data.gov.mo/Detail?id=e362d709-ae92-4176-ae8c-7dbc92776f38
路氹城生態保護區水質數據,https://data.gov.mo/Detail?id=7f65228b-5597-4337-8da4-a25c43336f56
行政長官選舉委員會委員選舉結果統計,https://data.gov.mo/Detail?id=80ddc191-fc5d-4f00-868d-cdf0c6144997
大橋車流量(友誼),https://data.gov.mo/Detail?id=934bbc43-57e5-4b9a-9e71-6d64725808c4
污水處理廠數據(氹仔),https://data.gov.mo/Detail?id=9d257556-9d52-4a59-afa0-d1a2a2bab0a8
大橋車流量(西灣),https://data.gov.mo/Detail?id=d5f2cfcf-29d7-453e-a72a-ba64ef944040
年終本地人口,https://data.gov.mo/Detail?id=2828f4ac-bce6-42ab-acac-243a95b5cbad
社團及財團數量統計,https://data.gov.mo/Detail?id=89f1a98f-4195-4272-b3bb-72a3b5555a8a
